minute,median,p25,p75,pair
247,5059.336414217981,2162.5119167241705,12289.508188002383,ETH/SHIB
248,5032.420228914403,2143.2036926284118,12262.263708399318,ETH/SHIB
249,5021.1884314142235,2133.8277449384104,12201.334089077793,ETH/SHIB
250,5018.923201792346,2127.7327505930307,12124.276876103448,ETH/SHIB
251,5043.094298989901,2150.968888857772,12261.339764344333,ETH/SHIB
252,5051.755517424595,2146.763344275036,12313.881051388471,ETH/SHIB
253,5106.994328195023,2166.5210774342686,12251.506059818958,ETH/SHIB
254,5119.373429630494,2167.171934178085,12318.75421347891,ETH/SHIB
255,5085.9090731954,2153.543895410886,12272.770693927481,ETH/SHIB
256,5055.201218969247,2146.779346182048,12109.086555475786,ETH/SHIB
257,5035.211160746451,2153.751456656639,12092.674218981212,ETH/SHIB
258,5008.72899948535,2152.7358057610095,12033.351813370236,ETH/SHIB
259,4970.113146953695,2127.7327601339894,11924.792068978857,ETH/SHIB
260,4959.253012342083,2122.0898974544752,11661.466533700535,ETH/SHIB
261,4982.247450228052,2098.1472035264505,11529.334621222091,ETH/SHIB
262,4982.790256426704,2093.453934073934,11497.237817467516,ETH/SHIB
263,4972.9148185488675,2119.3360599449834,11496.767697390043,ETH/SHIB
264,4973.591849760661,2117.0846567068634,11537.39720109137,ETH/SHIB
265,5007.530345962484,2115.6269845774814,11645.690856289897,ETH/SHIB
266,5007.2240459856175,2110.1137998258178,11514.572343827638,ETH/SHIB
267,4942.348412736063,2082.705166231793,11481.445610556546,ETH/SHIB
268,4932.652797980535,2076.2572989534738,11471.96154214013,ETH/SHIB
269,4902.013323270431,2062.102096527511,11348.125818164082,ETH/SHIB
270,4879.977777743103,2047.0517282102412,11356.390087597812,ETH/SHIB
271,4853.1750346336,2041.7806458468528,11447.262452870882,ETH/SHIB
272,4830.5445545247785,2021.5342243017378,11337.799023472391,ETH/SHIB
273,4819.5917998650075,2030.7874213393122,11367.08677369873,ETH/SHIB
274,4817.263623576974,2042.0958799030534,11324.742093168916,ETH/SHIB
275,4818.204681216126,2029.50273632811,11384.423395470636,ETH/SHIB
276,4804.0633401061095,2031.0262049482367,11362.394601363512,ETH/SHIB
277,4776.886922731992,2030.2900797922032,11291.123882929825,ETH/SHIB
278,4715.711039787688,1982.529880744135,11197.805485412437,ETH/SHIB
279,4669.5797433589905,1963.7055992949915,11143.195871012564,ETH/SHIB
280,4592.980895215235,1937.7570020473952,11002.828072778366,ETH/SHIB
281,4532.461744877926,1905.5235407286464,10976.304112876456,ETH/SHIB
282,4541.365029056365,1910.4391732368595,10913.956321908829,ETH/SHIB
283,4482.565371077073,1898.556485907457,10818.699167985933,ETH/SHIB
284,4451.386821985016,1880.605616307704,10807.479772039018,ETH/SHIB
285,4429.1694392311265,1886.709382291863,10767.286262987629,ETH/SHIB
286,4424.529238815114,1884.8832930333854,10595.981591477028,ETH/SHIB
287,4412.112099647139,1880.9882191340594,10675.244585767545,ETH/SHIB
288,4391.818672738683,1849.425738291682,10683.447789347574,ETH/SHIB
289,4404.391569423363,1853.7312135079312,10692.322140950808,ETH/SHIB
290,4400.126195485903,1850.2381839998898,10657.514939406079,ETH/SHIB
291,4373.443429868711,1821.8442165799688,10704.13836442852,ETH/SHIB
292,4385.112265732737,1820.4118559614215,10743.767653052426,ETH/SHIB
293,4436.858383844199,1835.961772738079,10792.201952603125,ETH/SHIB
294,4448.677808419835,1857.215604541587,10818.474192669119,ETH/SHIB
295,4486.965855495944,1894.605975704669,10821.996348865132,ETH/SHIB
296,4525.9823039146495,1912.2520375710017,10771.017185506318,ETH/SHIB
297,4503.552022858639,1906.2514436371691,10701.404267759182,ETH/SHIB
298,4540.421292761612,1904.2725612688112,10787.691730521214,ETH/SHIB
299,4573.5358780191045,1906.9709585605528,10827.673224574908,ETH/SHIB
300,4626.596291541432,1921.3670842881988,10896.990115610268,ETH/SHIB
301,4656.453884610978,1938.9286728907023,11024.889982107885,ETH/SHIB
302,4681.769486550699,1961.642896359728,11006.89839776035,ETH/SHIB
303,4734.1904072812285,1998.7714755641127,11090.869559284467,ETH/SHIB
304,4728.877069622006,1995.2511179232388,11106.37996684164,ETH/SHIB
305,4708.863775276085,2020.4025044254834,11114.970123503408,ETH/SHIB
306,4735.867730001661,2056.365810115097,11059.63509650558,ETH/SHIB
307,4746.205005939677,2072.709632725788,11171.459893265104,ETH/SHIB
308,4781.7553142717425,2081.3635936103283,11172.603346944798,ETH/SHIB
309,4804.45988075295,2085.3689540459404,11223.840478845466,ETH/SHIB
310,4826.824005765941,2067.7103411584617,11242.54419191396,ETH/SHIB
311,4778.4353349164585,2065.5672608766004,11199.529787151052,ETH/SHIB
312,4791.252613643616,2073.7076126438255,11243.906368224163,ETH/SHIB
313,4760.93382021567,2088.9365370731807,11183.165657673539,ETH/SHIB
314,4769.110352815278,2121.8372346073265,11213.531639269602,ETH/SHIB
315,4742.6396168326755,2140.8806292753648,11170.349973996532,ETH/SHIB
316,4714.970807515982,2138.670988564082,11168.906288071588,ETH/SHIB
317,4682.783794514967,2131.980982096648,11205.16734030424,ETH/SHIB
318,4648.785189635818,2116.6795647286813,11163.065090453205,ETH/SHIB
319,4621.098267881683,2098.6947958406345,11175.068493969107,ETH/SHIB
320,4657.675033532795,2101.7324532391262,11196.854729034849,ETH/SHIB
321,4664.332142577027,2092.1859180314996,11290.268473630127,ETH/SHIB
322,4651.727582679405,2087.496729477106,11140.996570168994,ETH/SHIB
323,4617.272321227217,2101.9529476793477,11083.51055126393,ETH/SHIB
324,4622.126026679762,2098.5130681921937,11001.546687275017,ETH/SHIB
325,4606.46696853775,2116.667918171538,10964.721265394828,ETH/SHIB
326,4661.2252928973585,2113.5098317141133,11062.82615921846,ETH/SHIB
327,4672.205825783185,2117.69040503764,11082.51641264261,ETH/SHIB
328,4699.277167777867,2109.377130456031,11106.113492390827,ETH/SHIB
329,4673.5026776292125,2090.0590718374465,11138.339439935266,ETH/SHIB
330,4665.658057828619,2070.353187610995,11115.471000577836,ETH/SHIB
331,4638.990959497163,2068.622271053771,11008.733872851562,ETH/SHIB
332,4680.1037386661055,2074.640997232953,10965.915218749058,ETH/SHIB
333,4690.430738547317,2084.800108557219,10895.12155076439,ETH/SHIB
334,4711.087195026978,2090.429837386071,10821.217209151557,ETH/SHIB
335,4721.940148954751,2084.465728782866,10841.54016372721,ETH/SHIB
336,4728.049521222655,2090.3953900667602,10800.287446627219,ETH/SHIB
337,4751.138030565236,2084.2954277437993,10859.921171905768,ETH/SHIB
338,4733.558246030779,2069.0811273965705,10867.421325454521,ETH/SHIB
339,4710.63646209741,2055.935985310697,10790.637010720711,ETH/SHIB
340,4698.851706353021,2047.0447618642681,10734.176259877186,ETH/SHIB
341,4718.565277334788,2063.936228838376,10698.275394210725,ETH/SHIB
342,4722.157054046553,2057.8583559068784,10632.490796352626,ETH/SHIB
343,4742.9537269770535,2061.5237951922804,10605.024912156985,ETH/SHIB
344,4761.971822317491,2071.4273279013987,10515.355522073618,ETH/SHIB
345,4762.403732214722,2056.010004466151,10503.943161826719,ETH/SHIB
346,4810.417898995709,2044.5282570290249,10553.898939976363,ETH/SHIB
347,4787.697353664212,2037.9683933222466,10483.641123436788,ETH/SHIB
348,4769.53292690914,2027.4184544971854,10504.791767657916,ETH/SHIB
349,4759.04628419476,2019.1850964608952,10609.993457753308,ETH/SHIB
350,4734.966798188231,1995.3268972117294,10522.236732376015,ETH/SHIB
351,4724.966158973792,1990.4114143526572,10462.112421509664,ETH/SHIB
352,4670.6421170922295,1992.3253111850986,10386.376246937365,ETH/SHIB
353,4749.1210199501365,2024.5745084692423,10461.026378278091,ETH/SHIB
354,4793.133247910234,2049.6802063157315,10598.752249732015,ETH/SHIB
355,4800.359779939172,2054.4827211302186,10657.148182270874,ETH/SHIB
356,4760.725750917829,2051.0936736638328,10698.48907468895,ETH/SHIB
357,4772.055746683761,2077.323016378706,10738.825807342166,ETH/SHIB
358,4778.990402729264,2103.250205235761,10847.007440516418,ETH/SHIB
359,4819.608045979888,2117.9019235889687,11033.429736294729,ETH/SHIB
360,4860.484022055649,2167.411325449902,11134.408475370112,ETH/SHIB
361,4890.91622950233,2201.6445082587575,11224.958753715147,ETH/SHIB
362,4931.106335733984,2209.8094717876934,11343.195612137777,ETH/SHIB
