trade_index,candle,price_indexed,fee_bps,fee_ab_bps,fee_ba_bps
284,841,1.0817835956204824,27.0,28.0,32.0
285,842,1.077595197265355,28.0,29.0,31.0
286,855,1.091402412809876,31.0,28.0,32.0
287,857,1.103061374320931,32.0,27.0,33.0
288,870,1.0901136207629303,27.0,28.0,32.0
289,882,1.0990262505576063,32.0,27.0,33.0
290,883,1.106374679715414,33.0,26.0,34.0
291,898,1.1114728245246808,34.0,25.0,35.0
292,905,1.1025204107787192,25.0,26.0,34.0
293,907,1.1112170856089618,34.0,25.0,35.0
294,910,1.10256751267098,25.0,26.0,34.0
295,916,1.0984886884296425,26.0,27.0,33.0
296,944,1.1085031057206869,33.0,26.0,34.0
297,949,1.1111448587771031,34.0,25.0,35.0
298,960,1.1005106339081547,25.0,26.0,34.0
299,962,1.094139521412973,26.0,27.0,33.0
300,963,1.0788228658262293,27.0,28.0,32.0
301,967,1.0749771959763537,28.0,29.0,31.0
302,968,1.0683005385627022,29.0,30.0,30.0
303,971,1.0587975487807633,30.0,31.0,29.0
304,975,1.0684259561187681,29.0,30.0,30.0
305,976,1.0736153757489437,30.0,29.0,31.0
306,978,1.0759798021786295,31.0,28.0,32.0
307,990,1.0842926748688668,32.0,27.0,33.0
308,992,1.0893443989397018,33.0,26.0,34.0
309,995,1.0940786791982282,34.0,25.0,35.0
310,1009,1.0770815054716498,25.0,26.0,34.0
311,1026,1.0860472492346425,34.0,25.0,35.0
312,1028,1.0897174504520086,35.0,24.0,36.0
313,1037,1.093782311886184,36.0,23.0,37.0
314,1041,1.0971047499336672,37.0,22.0,38.0
315,1051,1.0994816302976604,38.0,21.0,39.0
316,1053,1.0860995516923724,21.0,22.0,38.0
317,1059,1.095206019611949,38.0,21.0,39.0
318,1060,1.0978254949024573,39.0,20.0,40.0
319,1064,1.1023507989651389,40.0,19.0,41.0
320,1071,1.0901248518777094,19.0,20.0,40.0
321,1079,1.0986286986424134,40.0,19.0,41.0
322,1080,1.0876697940893392,19.0,20.0,40.0
323,1081,1.0966082684886764,40.0,19.0,41.0
324,1082,1.0879720716387424,19.0,20.0,40.0
325,1087,1.09890445240665,40.0,19.0,41.0
326,1090,1.1021569727119038,41.0,18.0,42.0
327,1091,1.1060294092904683,42.0,17.0,43.0
328,1093,1.1089079085676186,43.0,16.0,44.0
329,1097,1.1158866118536133,44.0,15.0,45.0
330,1103,1.1198132948677155,45.0,14.0,46.0
331,1105,1.1260669762692683,46.0,13.0,47.0
332,1106,1.1316780498613341,47.0,12.0,48.0
333,1107,1.1370290896476536,48.0,11.0,49.0
334,1111,1.1414521476797344,49.0,10.0,50.0
335,1112,1.1450274507214675,50.0,9.0,51.0
336,1113,1.1480777998032068,51.0,8.0,52.0
337,1114,1.1511702908541208,52.0,7.0,53.0
338,1125,1.1411613193859405,7.0,8.0,52.0
339,1127,1.1520559665102679,52.0,7.0,53.0
340,1128,1.1583877567265273,53.0,6.0,54.0
341,1132,1.147415602628745,6.0,7.0,53.0
342,1133,1.1450407601096673,7.0,8.0,52.0
343,1135,1.1418907542463674,8.0,9.0,51.0
344,1138,1.139559877420029,9.0,10.0,50.0
345,1156,1.1370095221991208,10.0,11.0,49.0
346,1163,1.1333494796521821,11.0,12.0,48.0
347,1165,1.1253746491398078,12.0,13.0,47.0
348,1179,1.1228846502151248,13.0,14.0,46.0
349,1182,1.108321905272108,14.0,15.0,45.0
350,1183,1.1175483694439046,45.0,14.0,46.0
351,1187,1.1205815462578048,46.0,13.0,47.0
352,1196,1.111920274098516,13.0,14.0,46.0
353,1200,1.1078334006131236,14.0,15.0,45.0
354,1206,1.1166088933281468,45.0,14.0,46.0
355,1213,1.1226148292425477,46.0,13.0,47.0
356,1225,1.1269228891219505,47.0,12.0,48.0
357,1232,1.1289237700913084,48.0,11.0,49.0
358,1237,1.1187454755188588,11.0,12.0,48.0
359,1238,1.116359776359233,12.0,13.0,47.0
360,1242,1.113585285521386,13.0,14.0,46.0
361,1245,1.110581081372994,14.0,15.0,45.0
362,1246,1.1077450802621787,15.0,16.0,44.0
363,1261,1.120500087925652,44.0,15.0,45.0
364,1272,1.123092806478789,45.0,14.0,46.0
365,1275,1.125499245787101,46.0,13.0,47.0
366,1278,1.1317025039755189,47.0,12.0,48.0
367,1296,1.1229111463389518,12.0,13.0,47.0
368,1307,1.1191051454800387,13.0,14.0,46.0
369,1309,1.1162196725679863,14.0,15.0,45.0
370,1325,1.1251056270631,45.0,14.0,46.0
371,1327,1.1315508743902565,46.0,13.0,47.0
372,1328,1.1343161316078578,47.0,12.0,48.0
373,1333,1.1394532465716036,48.0,11.0,49.0
374,1334,1.1432329282078348,49.0,10.0,50.0
375,1338,1.145774603017281,50.0,9.0,51.0
376,1339,1.1478780614175217,51.0,8.0,52.0
377,1341,1.151339866540404,52.0,7.0,53.0
378,1359,1.1416732579840356,7.0,8.0,52.0
379,1368,1.1360338093529736,8.0,9.0,51.0
380,1379,1.1339531219501755,9.0,10.0,50.0
381,1390,1.1310231163900706,10.0,11.0,49.0
382,1391,1.1272902734907093,11.0,12.0,48.0
383,1395,1.1238149188652748,12.0,13.0,47.0
384,1422,1.1334379749347137,47.0,12.0,48.0
385,1432,1.1387968685162413,48.0,11.0,49.0
386,1433,1.1433109934992747,49.0,10.0,50.0
