minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
238,30159.816064367904,10053.272021455969,3015.9816064367906,1005.3272021455967,301.598160643679
239,30332.124809797107,10110.70826993237,3033.2124809797106,1011.0708269932369,303.3212480979711
240,30421.661245937263,10140.553748645754,3042.166124593726,1014.0553748645754,304.21661245937264
241,30463.334015711516,10154.444671903839,3046.3334015711516,1015.4444671903839,304.6333401571152
242,30582.82059979393,10194.273533264643,3058.2820599793927,1019.4273533264643,305.8282059979393
243,30509.283613324926,10169.761204441642,3050.9283613324924,1016.9761204441642,305.09283613324925
244,30556.154039998968,10185.384679999657,3055.615403999897,1018.5384679999656,305.56154039998967
245,30639.8768233381,10213.292274446034,3063.98768233381,1021.3292274446034,306.398768233381
246,31048.25159970496,10349.417199901653,3104.825159970496,1034.9417199901652,310.4825159970496
247,31399.267723271274,10466.422574423757,3139.9267723271273,1046.6422574423757,313.9926772327127
248,31652.49079631186,10550.830265437287,3165.249079631186,1055.0830265437287,316.5249079631186
249,32091.4567254138,10697.152241804599,3209.14567254138,1069.71522418046,320.914567254138
250,32718.821549060318,10906.273849686771,3271.8821549060317,1090.6273849686772,327.18821549060317
251,32521.62251395823,10840.540837986076,3252.162251395823,1084.0540837986077,325.2162251395823
252,32414.4453660502,10804.815122016733,3241.44453660502,1080.4815122016732,324.144453660502
253,32384.632842026578,10794.87761400886,3238.463284202658,1079.487761400886,323.8463284202658
254,32327.673606282464,10775.891202094155,3232.7673606282465,1077.5891202094153,323.2767360628246
255,32068.15346686222,10689.384488954074,3206.8153466862223,1068.9384488954074,320.6815346686222
256,32040.86995124677,10680.289983748922,3204.086995124677,1068.0289983748924,320.40869951246765
257,31794.410082447623,10598.136694149209,3179.4410082447625,1059.8136694149207,317.94410082447627
258,31369.181184396824,10456.393728132274,3136.9181184396825,1045.6393728132275,313.69181184396825
259,31077.702713083465,10359.234237694487,3107.7702713083463,1035.9234237694488,310.77702713083465
260,30800.77119491769,10266.92373163923,3080.077119491769,1026.692373163923,308.0077119491769
261,30987.097778505013,10329.032592835005,3098.7097778505013,1032.9032592835003,309.8709777850501
262,31166.021599464857,10388.673866488285,3116.6021599464857,1038.8673866488286,311.6602159946486
263,31560.985698997763,10520.328566332588,3156.098569899776,1052.0328566332587,315.60985698997763
264,31986.122046664954,10662.040682221652,3198.6122046664955,1066.2040682221652,319.86122046664957
